Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
GUATEMALA,Horus Energy II,Solar,Chiquimulilla (Santa Rosa),30,Under construction,Undetermined,Anacapri. S.A. (Grupo Onyx),Private,Guatemala (Guatemala),http://www.mem.gob.gt/wp-content/uploads/2012/04/Mapa-solar.pdf,14.03318,-90.366561
GUATEMALA,Las Cumbres de Agua Blanca,Wind,Agua Blanca (Jutiapa),31.5,Operational,2018,Transmisora de Electricidad. S.A.,Private,Guatemala (Guatemala),https://www.mem.gob.gt/wp-content/uploads/2018/11/Energ%C3%ADa-E%C3%B3lica-en-Guatemala.pdf,14.4370189,-89.5665532
GUATEMALA,Cerro Blanco,Geothermal,Asunción Mita (Jutiapa),50,Under construction,Undetermined,Geotermia Oriental de Guatemala (Bluestone Resources Inc.),Private,Vancouver (Canada),https://bluestoneresources.ca/mita-geothermal-project/,14.3530402,-89.6684355
GUATEMALA,San Antonio El Sitio,Wind,Villa Canales (Guatemala),52.8,Operational,2015,San Antonio El Sitio. S.A.,Private,Guatemala (Guatemala),https://esagt.com/quienes-somos.php,14.3625764,-90.5552464
GUATEMALA,Horus Energy,Solar,Chiquimulilla (Santa Rosa),58,Operational,2014,Anacapri. S.A. (Grupo Onyx),Private,Guatemala (Guatemala),https://www.horusuno.com/,14.0534931,-90.3563341
HONDURAS,Comayagua,Solar,Comayagua,10.6,Operational,2019,Celsia (Grupo Argos),Private,Medellín (Colombia),https://www.celsia.com/es/quienes-somos/granjas-solares/,14.5072991,-87.6583223
HONDURAS,Lajas,Solar,Choluteca,11.9,Operational,2017,Energys Honduras. S.A.,Undetermined,Tegucigalpa (Honduras),,13.390244,-87.320615
HONDURAS,Granja Solar del Pacífico,Solar,Choluteca,20,Operational,2015,Sistemas Solares Fotovoltaicos. S.A.,Private,Undetermined,https://www.eib.org/attachments/registers/57609174.pdf,13.2662298,-87.2440185
HONDURAS,12 Tribus,Geothermal,San Ignacio,20,Planned,Undetermined,Ormat Technologies Inc.,Private,Reno (US),https://www.ormat.com/,14.6912648,-87.0890364
HONDURAS,Pacific,Solar,Valle,21,Operational,2017,Pacific Solar Energy. S.A. de C.V.,Private,Undetermined,https://pacificsolar.hn/index.php/es/conoce-mas,13.518105,-87.574733
HONDURAS,Pavana Solar,Solar,Choluteca,24,Operational,2015,Energía Básica. S.A. de C.V. (Grupo Luz y Fuerza),Private,Choluteca (Honduras),https://www.enerbasa.com/parque-solar/,13.4049498,-87.3349288
HONDURAS,MECER/Helios,Solar,Choluteca,25,Operational,2015,Sociedad Mecanismos de Energía Renovable. S.A. de C.V. (Corporación Grupo Terra),Private,Tegucigalpa (Honduras),https://corporaciongrupoterra.com/es/terra-energia/,13.2183777,-87.223455
HONDURAS,Solar del Sur,Solar,Choluteca,25.6,Operational,2017,Generación Renovable de Honduras. S.A. de C.V./(Corporación Grupo Terra),Private,Tegucigalpa (Honduras),https://corporaciongrupoterra.com/es/terra-energia/,13.2188858,-87.2373654
HONDURAS,Marcovia,Solar,Choluteca,35,Operational,2015,Gestamp Solar (Gestamp Renewables)/Energía Solar Centroamericana. S.A. de C.V.,Private,Tegucigalpa (Honduras),,13.2843685,-87.2709275
HONDURAS,Los Prados,Solar,Namasigüe,35,Operational,2018,Scatec/KLP Norfund/,Private,Oslo (Norway),https://scatec.com/locations/honduras/#los-prados-honduras,13.1248234,-87.1386579
HONDURAS,Platanares,Geothermal,La Unión (Copán),38,Operational,2017,Ormat Technologies Inc.,Private,Reno (US),https://www.ormat.com/en/projects/all/main/?Country=Honduras&Seg=0&Tech=0,14.7613983,-88.9313087
HONDURAS,Chinchayote,Wind,San Marcos de Colón (Choluteca),46.2,Operational,2018,Corporación Grupo Terra,Private,Tegucigalpa (Honduras),https://corporaciongrupoterra.com/es/terra-energia/,13.3817299,-86.9584032
HONDURAS,Agua Fría,Solar,Nacaome,60,Operational,2015,Scatec/KLP Norfund/Potencia y Energía de Mesoamérica,Private,Oslo (Norway),https://scatec.com/locations/honduras/#agua-fria-honduras,13.4842846,-87.5502634
HONDURAS,Aura Solar II,Solar,Choluteca,61.5,Operational,2015,Energía Cinco Estrellas. S.A. de C.V./Corporación Aura Solar Holding,Private,Tegucigalpa (Honduras),http://www.isoluxcorsan.com/es/proyecto/planta-solar-fotovoltaica-aura-ii-en-honduras.html,13.2375401,-87.2573102
HONDURAS,San Marcos de Colón,Wind,San Marcos de Colón (Choluteca),63.4,Operational,2015,Corporación Grupo Terra,Private,Tegucigalpa (Honduras),https://corporaciongrupoterra.com/es/terra-energia/,13.4217929,-86.9281487
HONDURAS,Choluteca I-II,Solar,Choluteca,70,Operational,2015,Corporación Multi Inversiones,Private,Guatemala (Guatemala),https://www.cmi.co/es/component/blankcomponent/?view=default&Itemid=113,13.227429,-87.209167
HONDURAS,Yauyupe San Lucas,Wind,Yauyupe-San Lucas (Paraíso),99,Under construction,Undetermined,NuCapital/Productores de Energía Renovable,Private,Tegucigalpa (Honduras),http://nucapitalsvcs.com/index.php/projects/47-parque-eolico-yayupe-san-lucas-s-a-under-development-honduras,13.6315595,-87.2227758
